etat,marque,annee,boite_vitesse,adresse,prix,image_link-src
D'occasion,Toyota,2017,Automatique,Ouakam,20000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e96e1020fcea5180485e8069fd84f9df/-/horizon-files-prod/ed/picture/qkr8z0x5/6335391220b8f1667adf93a4e44d9a62b77a8c25.jpg
Venant,Citroen,2016,Manuelle,Keur Massar,6000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7541b0baca60017f399b4979dbd72c86/-/horizon-files-prod/ed/picture/qm5gem4z/1f9e427622c28764d8150ea2be055d418a86ef61.jpg
D'occasion,Citroen,2015,Automatique,Hann maristes,5500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a50ef65783d02c67cbb789c323b7415/-/horizon-files-prod/ed/picture/qm5gw8ew/64a247794d3500c0eff4dc9296e916878a2ce5f3.jpg
D'occasion,Renault,2019,Manuelle,Fass,5900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b09a6545b59b00974ecb145a8d0181d/-/horizon-files-prod/ed/picture/qenvedj9/9e151c4752d9d11d934f97d097d6e329aa108eef.jpg
D'occasion,Chevrolet,2015,Automatique,Fass,3850000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c4e552be0fd5a90429858175d393c536/-/horizon-files-prod/ed/picture/q56dnpkn/42de42ebb0c49977795732c0a116622331edb54f.jpg
Neuf,Autres,2024,Non spécifié,Castor,25000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/63893166fd579e58486abb4be7b45421/-/horizon-files-prod/ed/picture/q2jq0rnv/74df19cf79c88d6e348bf96e06b743859482f5a4.jpg
D'occasion,Hyundai,2018,Automatique,Mamelles,13000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/435db6299f4493b55c28342da63341eb/-/horizon-files-prod/ed/picture/qkr8n7r2/fa0739c26844c93373fa3d08e86e97cf2c52653f.jpg
D'occasion,Mercedes-Benz,2016,Automatique,Liberte 6,13000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d59a4df30736977c44bf3ce33b1a29b/-/horizon-files-prod/ed/picture/q56d56qg/b9ec3ec4c7130656ebfa2b54904167127b8bace4.jpg
Venant,Citroen,2016,Automatique,Nord foire,6200000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fadf14f2c63ba49c095cda7913547121/-/horizon-files-prod/ed/picture/qrz8xdmq/6f4bebc8b1060e1fe14f5da521db419eea107ae1.jpg
Neuf,Chevrolet,2019,Automatique,Ouest foire,10500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b33ec57d64882b80084fa3651a34b46/-/horizon-files-prod/ed/picture/qzvp0g9d/6bfd5f0cf6b7949153a105e37273dfd21a6497b8.jpg
D'occasion,Citroen,1978,Manuelle,Nianing,2800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/715f982dd41d469b36998fa481836f1e/-/horizon-files-prod/ed/picture/qm5m820w/f6231a9476bbad5ffa3886d681114366d191489b.jpg
D'occasion,Mitsubishi,2010,Manuelle,Nord foire,8500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/738f3f16879677d26ccb8e438954049b/-/horizon-files-prod/ed/picture/qrz8k6vg/09a94f2ea1fd6a5323bb311273bb56587784e17e.jpg
D'occasion,Mazda,2011,Manuelle,Nord foire,1900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c859652a7248b602057b19e03c0b43d5/-/horizon-files-prod/ed/picture/qwep6694/0a67390a79cf9f40bed8f9e7d3ee5b30cd737bd1.jpg
Venant,Kia,2017,Automatique,VDN,9850000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/01e304496658e79590ead997e8fc608e/-/horizon-files-prod/ed/picture/q0gp8nzz/15aecea38a55c9233bf215d935395992c582ab92.jpg
Venant,Hyundai,2016,Automatique,Nord foire,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/894b86061bb612cb7c3d1f85c719fe45/-/horizon-files-prod/ed/picture/q8vz29e7/dca95fdb98c28d6c71b8fb1ae105825c50695134.jpg
Venant,Land Rover,2016,Automatique,Nord foire,11900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/90e2f6d75c22a49095af0df90e10d2d4/-/horizon-files-prod/ed/picture/q44d2dpz/8f5fdacf5862c3c31c272fdbb89fdb709dae6318.jpg
Venant,Hyundai,2016,Automatique,Nord foire,10500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/006a69e4381be308c91f3a97408eb62a/-/horizon-files-prod/ed/picture/qxj657xq/ecaf1cdbddb16e5d68ac223f2a8cce6bfe51efc4.jpg
Venant,Hyundai,2017,Automatique,Nord foire,9500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/04ad78f169a67852be1c5a7160b69344/-/horizon-files-prod/ed/picture/qrzv2g55/816612db3a8a69496242a7091cd735540e4e23b1.jpg
Neuf,Ford,2018,Automatique,Nord foire,14500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2be37b74b3a9de9b7d026f4ecabb9666/-/horizon-files-prod/ed/picture/qkrgmwdn/e2bbbb49ad6e752034dc49cdb56be58be8ffe0d4.jpg
Venant,Ford,2015,Automatique,Nord foire,6500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c196f3bed02823d8dce1e5245383eaa2/-/horizon-files-prod/ed/picture/q78706rg/d93e91a752e6a45d225fc115b4f64008ee20b088.jpg
D'occasion,Peugeot,2011,Manuelle,Golf,2900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c1df308cfbe90d7d70ddd59de4a0bb35/-/horizon-files-prod/ed/picture/qj4r52kz/c31035d73b45ffc7c4dd83cf8e53bfa863a8e728.jpg
Venant,Hyundai,2017,Automatique,Liberte 6,9900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5764b8c3f0d3e92f2a67a748068bf577/-/horizon-files-prod/ed/picture/q6xkne6j/24ecb14a07a65c3d7f4156aa067518a4439d8742.jpg
Venant,Hyundai,2017,Automatique,Parcelles Assainies,6300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/220c4f2b6b5f578abc86400edcd302c9/-/horizon-files-prod/ed/picture/qj4rdrkz/95563e0ed44d6c1b63129bb9417ccdd167c41788.jpg
Neuf,Range Rover,2018,Automatique,Nord foire,35000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/be442014dc8da630d0149f5bc0781bfe/-/horizon-files-prod/ed/picture/qgq9d2ek/e2209423d7e6e59578cb28b49c94aa0338ba1c11.jpg
Neuf,Mercedes-Benz,2022,Automatique,Zac Mbao,55000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/df8839fceff8d3f307c199f29bbd24c5/-/horizon-files-prod/ed/picture/q9m92gzv/0434a537025db2eef1f85ce5ea8a03a37937cc91.jpg
Venant,Jeep,2016,Automatique,Nord foire,8500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c8d76a1f42f741dabf430b4cf0dbb788/-/horizon-files-prod/ed/picture/qm5pkmj9/003d1c341b4e073eb77c14eeb0090030fc4b4e25.jpg
Venant,Nissan,2017,Automatique,Nord foire,8500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/db70dfe66ab994c7561b3c8097a7337c/-/horizon-files-prod/ed/picture/q9m920gj/1be97878d40a7956b6bf1993c5386bf64694d1b6.jpg
