Etat,Marque,Annee,Prix,Adresse,Image_link
Neuf,Lifan,2024,1 ,Sicap Liberté,https://i.roamcdn.net/hz/ed/listing-thumb-543w/28a2137dcd1529ff0df65e747ddd738b/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Venant,Yamaha,2020,850 000 ,Hann maristes,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3855a60179b1e51095c3809d672b5403/-/horizon-files-prod/ed/picture/qde7pjj8/f389a66ceb7d2e4ddeabba1ae971f929fd0eca85.jpg
D'occasion,Autre,2019,150 000 ,Hann maristes,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe0319e5ac5ec06b11c0ece5239dad4d/-/horizon-files-prod/ed/picture/q9mjqdmn/5734abd12197825316db07d988f8876a79b260a7.jpg
D'occasion,Monto Motors,2017,5 500 000 ,VDN,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6010ffc4a41671aec8307aae07845580/-/horizon-files-prod/ed/picture/q44nvm82/b89a2727ab5f6f082998e0af341d6b2694a2b046.jpg
Neuf,Gorilla,2020,290 000 ,Guediawaye,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a2501c4cf8c0f615338f1b0638ce99d9/-/horizon-files-prod/ed/picture/q8v4wn99/ac4349c0ae8a93abc01fc0d561f693b941ee4e00.jpg
Neuf,Autre,2025,15 000 ,Grand-Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/49e76c53d173f304239a99208f4670c0/-/horizon-files-prod/ed/picture/q0g7jdmg/ba7767c6e8e6ba0ff7a25f54b53072aeb9927ef8.jpg
Neuf,Autre,2025,80 000 ,Grand-Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/73f6ab02cb243c099cdf397c73795b78/-/horizon-files-prod/ed/picture/qj4qez6v/d6d734957b7fb5d4c682f5bb6ba8c2add53f28fc.jpg
D'occasion,Yamaha,2023,3 750 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47b3a95a5b306d3c560b5467dfaba6bf/-/horizon-files-prod/ed/picture/qq4260mv/95204cabaf6e866f59e20efa6aad308b25cedbce.jpg
Venant,Honda,2015,550 000 ,Guediawaye,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc69d6a00c1e281e6a4c70d2d610deec/-/horizon-files-prod/ed/picture/q8v4wk66/0f2bafdb8ec3599722b50c64e4be1a3d4a5c0373.jpg
Neuf,Autre,2025,45 000 ,Grand-Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf8920cbd280a1a8e80e3aae14b2f7a8/-/horizon-files-prod/ed/picture/qzvp9zqd/ec6e87264fac5ed7ab313421ab45a9628bbbe5b1.jpg
Neuf,Honda,2018,850 000 ,Guediawaye,https://i.roamcdn.net/hz/ed/listing-thumb-543w/11141b2fbd41fbe2f3d2a079bd197eca/-/horizon-files-prod/ed/picture/qj4qepqe/4d912e1af65e40674be81c71780cbd836063a5a6.jpg
