Etat,Marque,Modele,Annee,Boite_vitesse,Prix,Adresse,Image_link
D'occasion,Jeep,Cherokee,2015,Automatique,5 000 000 ,Nord foire,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7afdd2d246e48a0759b41d0a0903c877/-/horizon-files-prod/ed/picture/qwep75vk/18de93c5f1977e62a772f7143b83bb35213c5361.jpg
D'occasion,Ford,Kuga,2011,Automatique,4 300 000 ,Sacré-cœur,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f48ad9cda1065a6e6d1165a576aa2d4/-/horizon-files-prod/ed/picture/qde7pm88/2388b6faf9efb437fc363ff7c451bfbbabc5ce99.jpg
Venant,Hyundai,Tucson,2016,Automatique,9 500 000 ,Liberte 6,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7494ce7a878b883c70706070ead79384/-/horizon-files-prod/ed/picture/qngpzwxr/098878694158f1076724138ac3a88aa2281e5e3f.jpg
D'occasion,Mercedes-Benz,GLC 300,2016,Automatique,13 000 000 ,Liberte 6,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d59a4df30736977c44bf3ce33b1a29b/-/horizon-files-prod/ed/picture/q56d56qg/b9ec3ec4c7130656ebfa2b54904167127b8bace4.jpg
D'occasion,Toyota,Hilux,2012,Manuelle,7 500 000 ,Sacré-cœur,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b2def97bb8f6498e6c76c905c7bd2541/-/horizon-files-prod/ed/picture/q6xd9m5n/2600781ab5bc62a3c98361662d9ec27f6313a6c8.jpg
D'occasion,Hyundai,Tucson,2012,Manuelle,1 ,Mamelles,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a14e7b561ac5274d71c3975c9623e44f/-/horizon-files-prod/ed/picture/qwep707g/95cc7a9e9d73991e1e1ec96d14fae10e786ede00.jpg
D'occasion,Ford,Fusion Titanium,2015,Automatique,4 000 000 ,Liberte 6,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c97343cb7017dbd0b94f2da54588b947/-/horizon-files-prod/ed/picture/qxjpv9m4/65cffcd2a82eb77e373c714f1fb8d85d44f67c40.jpg
Venant,Mazda,CX-9,2017,Automatique,15 000 000 ,Avenue Bourguiba,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0dba2d16f02ddc92f04dbe042de707a4/-/horizon-files-prod/ed/picture/q6xd98j7/b159fb6bb05b3ba3666052433908ea9a751b2bf7.jpg
Neuf,Chevrolet,Equinox,2019,Automatique,9 500 000 ,Ouest foire,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a439c1098a7e2d25e14767b64e5c2d88/-/horizon-files-prod/ed/picture/qj4qew0w/ca20e5b0dd4c201666ab011574e800f7de78903e.jpg
D'occasion,Hyundai,Tucson,2010,Automatique,5 300 000 ,Djily mbaye,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb2ddbf5b9c15b72aec7b07040dbcc24/-/horizon-files-prod/ed/picture/qxjpngkv/fabe4e3b73cd55646fc26e50ba8cedb24ec325fe.jpg
Automatique,Hyundai,D'occasion,"123,500 km",2015,4 800 000 ,Djily mbaye,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a553c47af09ab200eaa387996b344012/-/horizon-files-prod/ed/picture/qngpez7r/101eac0b4823a94aa7d441bef8c4a88dc3085cb3.jpg
Automatique,Mazda,Venant,89 km,2016,8 500 000 ,Ouest foire,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a4964606305e5370eb6732541edc02e4/-/horizon-files-prod/ed/picture/qpdme5kq/4028d43966c38c9ed200c1ce454d4d5738250c4f.jpg
D'occasion,Peugeot,508,2019,Automatique,6 500 000 ,VDN,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c965070dde6ec36a30fd589ea8117ef3/-/horizon-files-prod/ed/picture/qxjpv25n/3712c4f6ae73a86e62304f32b4ea5292b3b2e4c9.jpg
Venant,Nissan,Qashqai,2016,Automatique,10 000 000 ,Keur Massar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/175ff11de06ec91d94751922dc7a0a76/-/horizon-files-prod/ed/picture/q8v4dxr9/b4565d0b836f1a10ded5e4a0fe90739a42f0b290.jpg
